t,x,y,status,evt
0,0,0,True,0
1,0,0,True,0
2,0,0,True,0
3,0,0,True,1
4,0,0,True,1
5,0,0,True,1
6,0,0,True,1
7,0,0,True,1
8,0,0,True,1
9,0,0,True,1
10,0,0,True,1
11,0,0,True,1
12,0,0,True,0
13,0,0,True,0
14,0,0,True,1
15,0,0,True,1
16,0,0,True,1
17,0,0,True,1
18,0,0,True,1
19,0,0,True,1
20,0,0,True,1
21,0,0,True,1
22,0,0,True,1
23,0,0,True,1
24,0,0,True,0
25,0,0,True,0
26,0,0,True,1
27,0,0,True,1
28,0,0,True,1
29,0,0,True,1
30,0,0,True,1
31,0,0,True,1
32,0,0,True,1
33,0,0,True,1
34,0,0,True,1
35,0,0,True,1
36,0,0,True,1
37,0,0,True,1
38,0,0,True,1
39,0,0,True,1
40,0,0,True,1
41,0,0,True,1
42,0,0,True,1
43,0,0,True,1
44,0,0,True,1
45,0,0,True,1
46,0,0,True,1
47,0,0,True,1
48,0,0,True,1
49,0,0,True,1
50,0,0,True,1
51,0,0,True,1
52,0,0,True,1
53,0,0,True,1
54,0,0,True,0
55,0,0,True,0
56,0,0,True,0
57,0,0,True,0
58,0,0,True,0
59,0,0,True,0
60,0,0,True,0
61,0,0,True,0
62,0,0,True,0
63,0,0,True,0
64,0,0,True,0
65,0,0,True,1
66,0,0,True,1
67,0,0,True,1
68,0,0,True,1
69,0,0,True,1
70,0,0,True,1
71,0,0,True,1
72,0,0,True,1
73,0,0,True,1
74,0,0,True,1
75,0,0,True,1
76,0,0,True,1
77,0,0,True,1
78,0,0,True,1
79,0,0,True,1
80,0,0,True,1
81,0,0,True,1
82,0,0,True,1
83,0,0,True,1
84,0,0,True,0
85,0,0,True,0
86,0,0,True,0
87,0,0,True,0
88,0,0,True,0
89,0,0,True,0
90,0,0,True,0
91,0,0,True,0
92,0,0,True,0
93,0,0,True,0
94,0,0,True,1
95,0,0,True,1
96,0,0,True,1
97,0,0,True,1
98,0,0,True,1
99,0,0,True,1
100,0,0,True,1
101,0,0,True,2
102,0,0,True,2
103,0,0,True,2
104,0,0,True,2
105,0,0,True,3
106,0,0,True,3
107,0,0,True,1
108,0,0,True,1
109,0,0,True,1
110,0,0,True,1
111,0,0,True,1
112,0,0,True,0
113,0,0,True,0
114,0,0,True,0
115,0,0,True,0
116,0,0,True,0
117,0,0,True,0
118,0,0,True,0
119,0,0,True,0
120,0,0,True,0
121,0,0,True,0
122,0,0,True,0
123,0,0,True,0
124,0,0,True,0
125,0,0,True,4
126,0,0,True,4
